artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
1,2120,1,18,3727,0,504880083,121,5,78,1,1,186,F#,Major,72,95,62,11,0,10,33
1,1946,1,1,4415,15,571519850,26,103,120,0,40,180,G#,Major,44,24,66,8,0,16,3
1,2132,5,14,9049,74,1075569069,257,118,445,38,345,145,,Major,73,83,77,11,0,7,5
1,2161,12,28,3713,6,319509947,111,52,154,0,247,103,F#,Major,103,61,50,3,0,5,16
2,1966,11,13,765,0,90814648,15,0,9,0,0,85,D#,Minor,65,23,54,7,0,47,4
1,2079,5,13,2551,0,168692461,4,5,11,0,55,83,G#,Major,53,33,77,25,0,18,43
2,2018,6,14,607,156,134014368,41,267,41,10,878,137,B,Major,81,82,86,34,0,8,4
2,2125,10,13,5025,26,518859779,125,83,108,16,315,97,D,Major,55,23,77,13,0,8,11
1,2085,11,7,9305,0,1360334307,193,68,904,8,74,132,B,Minor,71,62,83,14,0,35,5
3,1897,8,5,1364,0,235613864,48,2,35,0,0,121,,Major,71,99,82,2,0,25,13
2,2206,1,1,36511,21,1347963496,353,92,4808,1,56,140,C#,Major,74,61,81,3,0,11,4
1,2007,7,12,5899,19,645065795,107,96,460,0,416,99,,Major,83,70,83,32,0,7,6
2,2124,11,8,1562,4,142369208,12,83,18,0,49,76,A,Major,62,23,61,78,1,15,14
1,2197,5,22,2194,0,286440074,19,3,37,0,0,152,D#,Major,56,38,58,66,0,11,4
1,2077,11,16,2325,20,268833811,45,25,119,0,9,148,D,Minor,69,47,43,93,0,23,41
1,2091,3,23,3133,33,205335021,126,65,100,3,631,105,D,Major,73,42,56,29,0,12,6
1,1852,1,1,4311,17,616725403,23,107,107,0,38,158,G#,Major,48,26,59,8,0,18,3
1,2213,1,34,2306,18,424204523,54,103,15,1,318,207,F#,Major,49,54,61,50,0,16,4
1,1991,11,4,6488,0,521567896,51,116,275,0,0,89,F,Major,29,32,61,49,25,21,12
2,1936,6,2,924,0,136734175,0,0,2,0,0,84,F#,Major,83,57,79,11,0,9,5
3,1838,12,25,1048,19,499364866,12,122,9,5,3,141,B,Minor,83,85,79,16,0,29,10
2,1916,12,10,2342,0,148967236,73,98,152,0,0,114,,Major,60,65,99,24,0,9,4
1,2016,5,6,864,0,274056340,4,14,9,0,0,114,F#,Minor,85,65,65,38,0,34,7
1,2176,2,18,943,15,312721631,29,90,32,7,12,151,G,Major,59,70,45,43,0,36,3
1,1871,5,12,215,4,167328600,16,5,0,0,6,123,,Major,52,14,42,87,0,10,3
1,2205,1,6,780,0,33808704,0,1,2,0,0,109,,Major,44,49,92,11,0,4,31
1,1857,2,2,19172,38,1380943546,73,75,975,1,149,183,D,Major,48,10,34,106,26,62,4
1,2083,3,3,166,0,31630427,2,10,0,0,0,129,,Major,57,34,66,40,0,9,3
1,1995,6,22,6264,51,165295696,145,148,2625,21,1387,118,D,Major,88,40,66,37,48,25,7
1,2080,10,15,9365,19,1460046111,248,88,653,22,9,149,F,Major,58,14,35,55,0,12,3
1,2097,10,2,11440,8,1229460814,192,82,286,6,16,123,D#,Minor,84,53,57,36,1,11,4
1,2173,5,6,1165,0,285019314,8,21,12,0,0,146,,Major,81,94,57,31,0,18,5
2,2133,5,14,1813,0,32906301,3,0,2,0,0,144,G#,Minor,47,46,35,88,0,11,36
2,1913,12,2,872,0,120031143,3,7,10,0,0,113,G#,Major,82,16,58,8,0,37,5
2,1997,1,7,791,0,61166163,3,0,5,0,0,134,C#,Major,64,30,78,0,0,7,7
1,2125,6,26,5415,0,525604035,44,19,67,12,0,95,G#,Minor,98,76,69,31,0,10,16
1,1886,1,1,1166,0,316554059,97,35,5,0,0,101,C#,Minor,71,83,83,13,0,14,3
1,2067,5,23,3018,102,117043196,0,0,142,35,0,110,B,Minor,70,78,81,2,0,31,5
1,2062,2,8,3668,11,477360453,104,47,715,20,,114,B,Major,82,85,84,38,0,12,4
1,1950,9,29,3519,0,326718671,65,100,32,0,2,124,D#,Minor,87,60,45,14,3,9,11
2,1860,9,14,636,5,322893906,14,83,4,2,0,125,,Major,80,71,82,34,1,13,4
3,2074,7,26,6880,0,486096551,95,5,66,1,0,156,F#,Minor,78,76,64,10,0,8,17
1,2067,4,12,356,16,135883632,36,101,8,1,116,159,C#,Major,58,77,102,12,0,40,9
1,1900,12,9,784,0,75088230,7,17,1,0,0,121,G,Minor,53,53,60,68,0,10,22
1,2144,2,21,1263,0,57607793,44,47,29,0,0,85,B,Major,43,32,77,19,0,10,5
1,2213,4,24,757,4,170428110,16,12,19,0,0,153,B,Minor,78,67,45,32,0,10,10
1,1977,5,18,667,15,383923024,23,97,9,0,23,162,F#,Minor,65,50,78,18,0,19,5
1,1874,7,20,5435,0,503953333,42,1,83,0,13,88,,Minor,43,42,40,23,8,9,20
1,2001,3,3,182,0,35140137,2,9,0,0,0,133,,Major,50,33,72,35,0,10,3
2,2130,5,12,281,5,83593822,9,54,4,1,101,123,G#,Major,65,43,39,70,0,10,3
1,1871,3,18,2923,18,706267043,151,79,213,25,0,184,,Major,54,55,58,12,0,44,6
1,1850,4,8,7978,0,713010328,165,31,151,15,12,109,G#,Major,84,33,60,3,0,11,9
1,1950,12,24,14820,0,463636033,199,33,466,0,0,105,,Major,63,22,53,0,2,27,3
3,2089,1,18,2975,0,80066053,38,46,25,0,1,129,C#,Minor,87,6,88,5,24,6,7
2,2093,5,28,2196,0,176541037,22,1,48,1,0,78,F,Minor,73,36,90,2,0,51,24
1,1969,13,9,918,0,80209916,6,21,3,0,0,76,,Major,57,20,18,77,0,11,5
1,1908,12,17,1694,0,191023858,45,34,43,13,4,130,G#,Minor,51,62,54,62,0,11,19
1,2183,13,13,9546,0,820398291,213,96,424,0,,142,G,Major,50,49,67,5,0,30,18
2,1909,4,1,2667,37,447829909,30,55,47,8,79,85,F,Minor,72,43,74,33,0,8,6
2,2122,11,11,2237,0,139103645,77,92,131,0,0,110,,Major,54,60,90,24,0,11,4
1,1854,12,18,1518,2,287003115,15,13,15,0,0,122,,Major,69,49,81,33,0,9,41
2,1993,2,20,22781,20,2163864805,325,192,2848,3,27,95,B,Minor,63,45,68,3,0,18,4
1,2189,5,22,3800,0,816439499,18,21,102,0,6,180,A,Major,44,21,31,79,0,34,4
1,1906,5,13,2012,8,336709360,40,81,9,0,15,109,A,Major,71,67,79,24,0,65,3
1,2111,5,19,4644,1,342137572,84,12,62,0,1,113,B,Major,78,34,75,26,6,12,4
3,2211,1,7,1317,0,90591531,8,18,6,0,0,129,C#,Major,43,26,69,33,0,65,3
1,2149,11,16,1643,0,370138270,1,0,27,0,0,88,B,Major,68,80,58,38,0,9,3
2,1921,13,18,698,1,129510107,0,0,28,0,,124,D#,Minor,45,14,75,0,0,9,4
3,1873,1,1,334,0,88072698,4,0,15,0,0,140,F#,Minor,59,48,78,23,4,6,5
1,2127,3,29,30180,1,2050770282,266,120,1471,0,5,159,C#,Minor,83,44,59,0,0,8,11
2,2220,4,1,2730,35,463387926,30,61,42,7,83,99,F,Minor,80,50,77,34,0,7,7
1,1852,7,30,9315,0,1013172163,127,128,271,0,,61,,Major,31,32,26,78,0,14,4
1,2079,7,15,544,45,14867411,35,121,35,5,228,125,,Minor,87,43,75,64,0,9,19
1,1946,11,20,2530,0,226058651,49,0,113,0,0,174,A#,Major,68,51,44,11,0,12,17
2,2200,7,21,668,50,55620715,1,48,8,0,1094,125,A,Major,60,92,87,66,8,9,7
2,2043,11,4,301,2,142672988,10,6,7,1,10,103,B,Minor,69,95,57,3,0,10,3
1,2176,1,1,8737,43,274717925,25,118,307,3,393,143,D,Major,43,20,80,20,0,9,8
1,2085,7,8,3746,10,547055051,93,69,103,1,1,188,F,Major,75,65,77,14,0,16,22
1,1979,10,21,2109,0,183393059,11,6,27,0,1,145,E,Major,36,28,56,7,0,12,3
3,1938,7,13,415,33,10809933,16,29,25,3,208,97,,Major,76,83,97,5,0,6,5
3,2062,4,6,4094,60,163787920,134,106,207,11,736,117,G,Major,61,22,87,0,0,12,3
4,1867,1,15,12753,0,939585515,220,51,711,0,16,114,D,Major,79,80,85,1,0,29,13
